Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  54",-6.607936709908e-02,6.808962089573e-02,-3.531284882027e-07,-6.408596119977e-02,7.102206314433e-02,-4.893875639618e-06,1.993405899304e-03,2.932442248596e-03,-4.540747151416e-06
"                  55",-7.646399609712e-02,7.581634429029e-02,-3.969366909382e-07,-7.441098581533e-02,7.886732785470e-02,-5.380869948891e-06,2.053010281791e-03,3.050983564402e-03,-4.983933257953e-06
"                  56",-8.208318691654e-02,8.074009912837e-02,-3.973365710449e-07,-7.994676998641e-02,8.390802277400e-02,-6.306941468203e-06,2.136416930136e-03,3.167923645628e-03,-5.909604897158e-06
"                  57",-8.541161590558e-02,8.434078883484e-02,-4.157195441876e-07,-8.317384238943e-02,8.762472955579e-02,-6.677787432608e-06,2.237773516151e-03,3.283940720942e-03,-6.262067888420e-06
"                  58",-8.947133291439e-02,8.802012673877e-02,-4.303747678251e-07,-8.713117107806e-02,9.142034056688e-02,-6.460756348890e-06,2.340161836330e-03,3.400213828110e-03,-6.030381581065e-06
"                  59",-9.566067772357e-02,9.236152442328e-02,-4.954190950230e-07,-9.323086816761e-02,9.587572869737e-02,-5.933159898462e-06,2.429809555955e-03,3.514204274091e-03,-5.437740803439e-06
"                  60",-1.028445364526e-01,9.675523185597e-02,-5.668672654024e-07,-1.003432233839e-01,1.003799548086e-01,-5.635726139387e-06,2.501313068724e-03,3.624722952664e-03,-5.068858873985e-06
"                  61",-1.089309725913e-01,1.003463839848e-01,-6.296067766663e-07,-1.063709756878e-01,1.040742220936e-01,-5.783665429790e-06,2.559996903480e-03,3.727838108821e-03,-5.154058653124e-06
"                  62",-1.123321680402e-01,1.025668637435e-01,-6.609491533783e-07,-1.097177155752e-01,1.063898595616e-01,-6.386524529628e-06,2.614452465008e-03,3.822995818093e-03,-5.725575376250e-06
"                  63",-1.136078434349e-01,1.038895247024e-01,-6.615061322694e-07,-1.109372254609e-01,1.077995473745e-01,-7.392588424422e-06,2.670617973984e-03,3.910022672113e-03,-6.731082292153e-06
"                  64",-1.148062784353e-01,1.053307313778e-01,-6.427688425376e-07,-1.120780977562e-01,1.093214283741e-01,-8.208030089803e-06,2.728180679132e-03,3.990696996343e-03,-7.565261247265e-06
"                  65",-1.173951507012e-01,1.074327059772e-01,-5.922442188955e-07,-1.146169048264e-01,1.114931838427e-01,-9.093077570368e-06,2.778245874799e-03,4.060477865538e-03,-8.500833351472e-06
"                  66",-1.213797902750e-01,1.100559331091e-01,-5.454276895564e-07,-1.185645776449e-01,1.141704617211e-01,-9.200655481904e-06,2.815212630075e-03,4.114528611943e-03,-8.655227792347e-06
"                  67",-1.256634719720e-01,1.126314904048e-01,-5.245709051153e-07,-1.228275429448e-01,1.167857882468e-01,-8.662237909389e-06,2.835929027183e-03,4.154297842010e-03,-8.137667004273e-06
"                  68",-1.290542559359e-01,1.146569286251e-01,-5.206620369219e-07,-1.262094015178e-01,1.188373802593e-01,-7.871703089727e-06,2.844854418090e-03,4.180451634258e-03,-7.351041052805e-06
"                  69",-1.309864614932e-01,1.159209745296e-01,-5.183955594759e-07,-1.281410411973e-01,1.201170330007e-01,-6.943576332968e-06,2.845420295839e-03,4.196058471082e-03,-6.425180773492e-06
"                  70",-1.319206756202e-01,1.167423411275e-01,-5.141422712270e-07,-1.290834446602e-01,1.209446040466e-01,-6.415399056026e-06,2.837230959999e-03,4.202262919149e-03,-5.901256784799e-06
"                  71",-1.329622645400e-01,1.177303081790e-01,-5.141728900645e-07,-1.301388862538e-01,1.219311537610e-01,-6.341117459401e-06,2.823378286182e-03,4.200845581979e-03,-5.826944569337e-06
"                  72",-1.349069658057e-01,1.192472950684e-01,-5.280928846129e-07,-1.320993552666e-01,1.234404462930e-01,-6.524703507591e-06,2.807610539127e-03,4.193151224624e-03,-5.996610622978e-06
"                  73",-1.377598147865e-01,1.212286277471e-01,-5.489872909632e-07,-1.349690057915e-01,1.254110186851e-01,-6.060049226091e-06,2.790808994952e-03,4.182390937958e-03,-5.511061935128e-06
