Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  52",-1.458100717322e-01,2.132052115858e+01,1.961198291148e-07,5.964176358644e-02,2.134414740824e+01,1.945765629396e-06,2.054518353186e-01,2.362624966382e-02,1.749645800281e-06
"                  53",-1.728474125130e-01,2.163271371921e+01,3.311759400574e-07,3.484618789952e-02,2.165684835070e+01,-1.691749882309e-06,2.076936004125e-01,2.413463148729e-02,-2.022925822366e-06
"                  54",-2.011528317663e-01,2.181906970168e+01,3.469993057615e-07,8.154685676821e-03,2.184372512777e+01,-2.421872072228e-06,2.093075174431e-01,2.465542609413e-02,-2.768871377990e-06
"                  55",-2.243132866033e-01,2.193980669875e+01,3.012731294606e-07,-1.416910854932e-02,2.196490883039e+01,-4.864644386164e-06,2.101441780540e-01,2.510213163703e-02,-5.165917515624e-06
"                  56",-2.386679794142e-01,2.208221208063e+01,2.376216735514e-07,-2.830523969653e-02,2.210759234154e+01,3.419994127931e-06,2.103627397176e-01,2.538026090318e-02,3.182372454380e-06
"                  57",-2.432371707251e-01,2.224180064208e+01,9.367619267927e-08,-3.304707767428e-02,2.226733400931e+01,-9.128630488625e-07,2.101900930508e-01,2.553336723304e-02,-1.006539241542e-06
"                  58",-2.456760054752e-01,2.239837127811e+01,-1.250395244073e-07,-3.594138565562e-02,2.242396577512e+01,-4.291469310784e-06,2.097346198196e-01,2.559449701498e-02,-4.166429786377e-06
"                  59",-2.525606619094e-01,2.256416466617e+01,-4.489701790988e-07,-4.340061396469e-02,2.258983047143e+01,-1.791546556560e-06,2.091600479447e-01,2.566580525292e-02,-1.342576377462e-06
"                  60",-2.644196190501e-01,2.273489888496e+01,-8.261507672705e-07,-5.585128544149e-02,2.276069577031e+01,-2.143313123734e-06,2.085683336087e-01,2.579688535531e-02,-1.317162356464e-06
"                  61",-2.803323504641e-01,2.290665174522e+01,-1.200790692660e-06,-7.241599057014e-02,2.293260317679e+01,-4.518929810510e-07,2.079163598940e-01,2.595143156320e-02,7.488977116087e-07
"                  62",-2.960844168909e-01,2.305158536299e+01,-1.526758918519e-06,-8.875636442533e-02,2.307763646370e+01,-1.083812124751e-07,2.073280524656e-01,2.605110070417e-02,1.418377706044e-06
"                  63",-3.098038175606e-01,2.316570966380e+01,-1.709792273494e-06,-1.029639904789e-01,2.319178841490e+01,-7.347989941471e-08,2.068398270817e-01,2.607875109817e-02,1.636312374079e-06
"                  64",-3.228876288798e-01,2.327292948638e+01,-1.779514248727e-06,-1.164402968775e-01,2.329899071358e+01,-7.859908512366e-07,2.064473320023e-01,2.606122719534e-02,9.935233974901e-07
"                  65",-3.391619228798e-01,2.336336500970e+01,-1.818373315349e-06,-1.329897055376e-01,2.338938890093e+01,-1.765340680375e-06,2.061722173421e-01,2.602389122854e-02,5.303263497381e-08
"                  66",-3.582821558281e-01,2.341900428714e+01,-1.852289383444e-06,-1.522605846181e-01,2.344499095348e+01,-2.483672659708e-06,2.060215712099e-01,2.598666634331e-02,-6.313832762643e-07
"                  67",-3.781801432426e-01,2.344622703155e+01,-1.931162123689e-06,-1.721169172892e-01,2.347218102594e+01,-3.246070067925e-06,2.060632259534e-01,2.595399439053e-02,-1.314907944237e-06
"                  68",-3.961693329464e-01,2.346033613720e+01,-2.042632516795e-06,-1.898666098851e-01,2.348621900812e+01,-4.048175903545e-06,2.063027230613e-01,2.588287091149e-02,-2.005543386749e-06
"                  69",-4.121196188969e-01,2.347653586078e+01,-2.169757433211e-06,-2.054083136474e-01,2.350227940326e+01,-5.780531965519e-06,2.067113052495e-01,2.574354248422e-02,-3.610774532307e-06
"                  70",-4.265422908567e-01,2.349633370657e+01,-2.274109961882e-06,-2.193566090069e-01,2.352185292841e+01,-6.087070928639e-06,2.071856818498e-01,2.551922183857e-02,-3.812960966757e-06
"                  71",-4.397378605661e-01,2.351545083603e+01,-2.374227549145e-06,-2.321098152841e-01,2.354067692559e+01,-6.542129408198e-06,2.076280452820e-01,2.522608955221e-02,-4.167901859053e-06
"                  72",-4.511688608590e-01,2.353400467733e+01,-2.464808792501e-06,-2.432336970966e-01,2.355891305134e+01,-6.415880270472e-06,2.079351637624e-01,2.490837401624e-02,-3.951071477971e-06
"                  73",-4.604840322222e-01,2.355975952178e+01,-2.512477293839e-06,-2.524447519797e-01,2.358436107658e+01,-5.502913813320e-06,2.080392802424e-01,2.460155479983e-02,-2.990436519481e-06
"                  74",-4.677549771805e-01,2.359681386232e+01,-2.523500044563e-06,-2.598817497906e-01,2.362113578417e+01,-4.605350869380e-06,2.078732273899e-01,2.432192184857e-02,-2.081850824817e-06
"                  75",-4.723513441223e-01,2.364199550364e+01,-2.501902996283e-06,-2.649091496983e-01,2.366605935092e+01,-6.204653359115e-06,2.074421944239e-01,2.406384728177e-02,-3.702750362833e-06
"                  76",-4.742572441678e-01,2.369030219908e+01,-2.439086872633e-06,-2.674609645597e-01,2.371412642971e+01,-7.527814682936e-06,2.067962796081e-01,2.382423062787e-02,-5.088727810304e-06
"                  77",-4.735799434931e-01,2.373805677834e+01,-2.332556897561e-06,-2.676642367049e-01,2.376166509894e+01,-7.593424505975e-06,2.059157067882e-01,2.360832059967e-02,-5.260867608414e-06
