Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  52",-1.155397512212e+00,2.028238448392e+01,-8.627002800691e-05,-9.974785073641e-01,2.030853068992e+01,-8.308970939777e-05,1.579190048482e-01,2.614620599776e-02,3.180318609139e-06
"                  53",-1.011547162308e+00,1.965379382551e+01,-8.751189610750e-05,-8.524448547607e-01,1.967947530979e+01,-8.565953891048e-05,1.591023075473e-01,2.568148427636e-02,1.852357197019e-06
"                  54",-8.646152867730e-01,1.897910578169e+01,-8.866829442089e-05,-7.040923852166e-01,1.900439443717e+01,-8.732217616126e-05,1.605229015564e-01,2.528865548024e-02,1.346118259625e-06
"                  55",-7.409057183459e-01,1.831520899218e+01,-8.903265708001e-05,-5.787232887207e-01,1.834017623140e+01,-8.772592219942e-05,1.621824296252e-01,2.496723921768e-02,1.306734880598e-06
"                  56",-6.429638685601e-01,1.772224703833e+01,-8.902296699279e-05,-4.787121175904e-01,1.774689518514e+01,-8.672222157340e-05,1.642517509697e-01,2.464814680604e-02,2.300745419388e-06
"                  57",-5.556660303863e-01,1.723853997909e+01,-8.887651522411e-05,-3.892463498833e-01,1.726281117614e+01,-8.524761562165e-05,1.664196805030e-01,2.427119704445e-02,3.628899602455e-06
"                  58",-4.705988767690e-01,1.679943567296e+01,-8.843248689993e-05,-3.017100308283e-01,1.682352960961e+01,-8.423576710582e-05,1.688888459407e-01,2.409393665310e-02,4.196719794104e-06
"                  59",-3.921744183240e-01,1.639466253990e+01,-8.733429620878e-05,-2.207015799034e-01,1.641872161280e+01,-8.278772696184e-05,1.714728384205e-01,2.405907290038e-02,4.546569246935e-06
"                  60",-3.227743523388e-01,1.602981087482e+01,-8.607358301958e-05,-1.485669036885e-01,1.605390447385e+01,-8.089150772017e-05,1.742074486503e-01,2.409359902340e-02,5.182075299412e-06
"                  61",-2.655943424375e-01,1.573508312739e+01,-8.475654999527e-05,-8.885074673257e-02,1.575928528978e+01,-7.903176945261e-05,1.767435957049e-01,2.420216238869e-02,5.724780542656e-06
"                  62",-2.243705323433e-01,1.551706141144e+01,-8.325029517760e-05,-4.497207159134e-02,1.554135518919e+01,-7.736077856414e-05,1.793984607519e-01,2.429377774304e-02,5.889516613467e-06
"                  63",-1.956984247198e-01,1.536514720740e+01,-8.164662834583e-05,-1.377432109415e-02,1.538951675648e+01,-7.691884463182e-05,1.819241036257e-01,2.436954908327e-02,4.727783714012e-06
"                  64",-1.732914176030e-01,1.527961662727e+01,-8.005944751923e-05,1.105956234181e-02,1.530405985127e+01,-7.624794059326e-05,1.843509799448e-01,2.444322399981e-02,3.811506925971e-06
"                  65",-1.532784230089e-01,1.524678074862e+01,-7.857945348412e-05,3.352290678962e-02,1.527129754828e+01,-7.504626925105e-05,1.868013297986e-01,2.451679966045e-02,3.533184233062e-06
"                  66",-1.372251643058e-01,1.527149792558e+01,-7.758712107627e-05,5.205724947411e-02,1.529608227278e+01,-7.343022130819e-05,1.892824137799e-01,2.458434720172e-02,4.156899768076e-06
"                  67",-1.249961636543e-01,1.537324469816e+01,-7.712053944559e-05,6.682090569497e-02,1.539784179249e+01,-7.141299800922e-05,1.918170693492e-01,2.459709433319e-02,5.707541436374e-06
"                  68",-1.163526153330e-01,1.554346597270e+01,-7.700682038839e-05,7.791735491598e-02,1.556803676454e+01,-7.047225169282e-05,1.942699702490e-01,2.457079183487e-02,6.534568695567e-06
"                  69",-1.105691674120e-01,1.572249132183e+01,-7.704577601209e-05,8.609105198654e-02,1.574705438449e+01,-7.040964528262e-05,1.966602193985e-01,2.456306266364e-02,6.636130729470e-06
"                  70",-1.090126925430e-01,1.587502223135e+01,-7.713077998613e-05,8.993108126168e-02,1.589961157548e+01,-7.193250651821e-05,1.989437738046e-01,2.458934412751e-02,5.198273467918e-06
"                  71",-1.120489212014e-01,1.600960281617e+01,-7.720209611837e-05,8.906305262288e-02,1.603427777643e+01,-7.400693225696e-05,2.011119738243e-01,2.467496025952e-02,3.195163861408e-06
"                  72",-1.184419064659e-01,1.616650267299e+01,-7.731691353711e-05,8.473812862647e-02,1.619137440617e+01,-7.713911149197e-05,2.031800350924e-01,2.487173317216e-02,1.778020451383e-07
"                  73",-1.266005243625e-01,1.638081880248e+01,-7.751207107327e-05,7.844776878155e-02,1.640602287821e+01,-8.091862378766e-05,2.050482931441e-01,2.520407572541e-02,-3.406552714385e-06
"                  74",-1.355821331529e-01,1.664205824662e+01,-7.784608654521e-05,7.126923462581e-02,1.666770113235e+01,-8.361447522630e-05,2.068513677787e-01,2.564288573025e-02,-5.768388681087e-06
"                  75",-1.456136908675e-01,1.692965175428e+01,-7.831874485178e-05,6.294263937698e-02,1.695577760621e+01,-8.259895903823e-05,2.085563302445e-01,2.612585193124e-02,-4.280214186455e-06
"                  76",-1.575376961672e-01,1.722694463014e+01,-7.885218374298e-05,5.263317403189e-02,1.725358783546e+01,-7.894324294173e-05,2.101708701991e-01,2.664320531418e-02,-9.105919875143e-08
"                  77",-1.711097328914e-01,1.751714975495e+01,-7.933017975943e-05,4.058419028686e-02,1.754430115284e+01,-7.462835147426e-05,2.116939231783e-01,2.715139789134e-02,4.701828285176e-06
"                  78",-1.859835726562e-01,1.778000692305e+01,-7.980129361107e-05,2.714172319857e-02,1.780764083604e+01,-7.082718425410e-05,2.131252958548e-01,2.763391299030e-02,8.974109356969e-06
"                  79",-2.018703600960e-01,1.800917680971e+01,-8.024426196381e-05,1.262220649526e-02,1.803730189888e+01,-7.084295297457e-05,2.144925665913e-01,2.812508916860e-02,9.401308989238e-06
