Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  92",-3.762517854138e+00,4.007776277096e+01,1.724924059915e-05,-3.579392850917e+00,4.011975459715e+01,-2.454295370386e-06,1.831250032206e-01,4.199182618859e-02,-1.970353596953e-05
"                  93",-3.775810394612e+00,4.014398723085e+01,1.767860119070e-05,-3.591171483951e+00,4.018614198513e+01,-2.501259324890e-06,1.846389106607e-01,4.215475428243e-02,-2.017986051559e-05
"                  94",-3.789233897712e+00,4.020520503241e+01,1.795142738336e-05,-3.603026582961e+00,4.024749534766e+01,-3.624890875730e-06,1.862073147518e-01,4.229031525263e-02,-2.157631825909e-05
"                  95",-3.802676255690e+00,4.026218284600e+01,1.812234769065e-05,-3.614862521309e+00,4.030459873452e+01,-4.903761830288e-06,1.878137343810e-01,4.241588851793e-02,-2.302610952093e-05
"                  96",-3.816275671247e+00,4.031218215129e+01,1.820156233675e-05,-3.626821521965e+00,4.035471995712e+01,-6.952768410193e-06,1.894541492816e-01,4.253780583202e-02,-2.515433074695e-05
"                  97",-3.829435544411e+00,4.035883102169e+01,1.826983537447e-05,-3.638321639149e+00,4.040148769295e+01,-8.952534946731e-06,1.911139052626e-01,4.265667126009e-02,-2.722237032120e-05
"                  98",-3.841492989846e+00,4.040670596909e+01,1.850855496646e-05,-3.648721536866e+00,4.044948060321e+01,-1.010382028958e-05,1.927714529802e-01,4.277463411714e-02,-2.861237525603e-05
"                  99",-3.852514757931e+00,4.045930442340e+01,1.894019239513e-05,-3.658095353668e+00,4.050216530533e+01,-9.352066381342e-06,1.944194042624e-01,4.286088192728e-02,-2.829225877647e-05
"                 100",-3.863445249795e+00,4.051315226587e+01,1.947734322595e-05,-3.667523691069e+00,4.055609905304e+01,-7.358174725386e-06,1.959215587263e-01,4.294678716655e-02,-2.683551795134e-05
"                 101",-3.874366115868e+00,4.056390063905e+01,1.997582206818e-05,-3.677099583211e+00,4.060697992527e+01,-2.853861678850e-06,1.972665326572e-01,4.307928621338e-02,-2.282968374703e-05
"                 102",-3.885309062917e+00,4.061303481402e+01,2.039757169297e-05,-3.686779036310e+00,4.065621924354e+01,3.585659109384e-06,1.985300266072e-01,4.318442952191e-02,-1.681191258359e-05
"                 103",-3.895905358261e+00,4.066237128316e+01,2.066967301142e-05,-3.696172529538e+00,4.070563977898e+01,1.176967690995e-05,1.997328287230e-01,4.326849581842e-02,-8.899996101468e-06
"                 104",-3.905601331843e+00,4.071338655539e+01,2.078800961729e-05,-3.704771278972e+00,4.075673014106e+01,1.948360268150e-05,2.008300528704e-01,4.334358566645e-02,-1.304406935783e-06
"                 105",-3.913894945296e+00,4.077594221966e+01,2.082138228241e-05,-3.711972806963e+00,4.081934119536e+01,2.631145525253e-05,2.019221383334e-01,4.339897569564e-02,5.490072970116e-06
"                 106",-3.921648049237e+00,4.084770690181e+01,2.081379289872e-05,-3.718647298389e+00,4.089114765268e+01,3.489006025739e-05,2.030007508476e-01,4.344075087815e-02,1.407626735867e-05
"                 107",-3.929715501629e+00,4.091714586339e+01,2.075813222911e-05,-3.725640955573e+00,4.096063753115e+01,4.283689654290e-05,2.040745460552e-01,4.349166775625e-02,2.207876431379e-05
"                 108",-3.938723289946e+00,4.096856931405e+01,2.073652620233e-05,-3.733583961461e+00,4.101211985812e+01,5.173998653064e-05,2.051393284846e-01,4.355054406686e-02,3.100346032832e-05
"                 109",-3.947932328947e+00,4.100201562253e+01,2.072883476316e-05,-3.741674094004e+00,4.104562829836e+01,5.694443872024e-05,2.062582349427e-01,4.361267583850e-02,3.621560395709e-05
"                 110",-3.956471535245e+00,4.102253201857e+01,2.071292456768e-05,-3.749049070097e+00,4.106620169598e+01,5.730952538427e-05,2.074224651479e-01,4.366967741109e-02,3.659660081658e-05
"                 111",-3.963739091375e+00,4.104037435302e+01,2.068483979332e-05,-3.755190737660e+00,4.108410526780e+01,5.723714839865e-05,2.085483537144e-01,4.373091477730e-02,3.655230860532e-05
"                 112",-3.970258596656e+00,4.105894600135e+01,2.060872379690e-05,-3.760670190484e+00,4.110279086830e+01,5.533696802268e-05,2.095884061716e-01,4.384486694957e-02,3.472824422577e-05
"                 113",-3.976665578371e+00,4.108011095961e+01,2.042551574270e-05,-3.766136791495e+00,4.112410717055e+01,5.262555968057e-05,2.105287868760e-01,4.399621094026e-02,3.220004393787e-05
"                 114",-3.982974417112e+00,4.110107356613e+01,2.016286407383e-05,-3.771585708989e+00,4.114525169717e+01,4.888710772024e-05,2.113887081231e-01,4.417813103864e-02,2.872424364640e-05
"                 115",-3.989315992227e+00,4.111578497057e+01,1.988773979441e-05,-3.777135964573e+00,4.116017811094e+01,3.526742967821e-05,2.121800276540e-01,4.439314037279e-02,1.537968988380e-05
"                 116",-3.995688512729e+00,4.111855926073e+01,1.964960491226e-05,-3.782729923251e+00,4.116317714358e+01,1.636047161871e-05,2.129585894773e-01,4.461788285578e-02,-3.289133293551e-06
"                 117",-4.003200899618e+00,4.109611555015e+01,1.945079517358e-05,-3.789410182120e+00,4.114097362160e+01,-9.156471645594e-06,2.137907174981e-01,4.485807145062e-02,-2.860726681917e-05
"                 118",-4.011631273013e+00,4.104883073841e+01,1.928218805990e-05,-3.796972833717e+00,4.109394905778e+01,-3.847158720849e-05,2.146584392962e-01,4.511831936229e-02,-5.775377526839e-05
"                 119",-4.020016839368e+00,4.098780739672e+01,1.912947305498e-05,-3.804496484784e+00,4.103318178512e+01,-6.699477733306e-05,2.155203545839e-01,4.537438839474e-02,-8.612425038804e-05
"                 120",-4.027880735665e+00,4.092303685816e+01,1.899888931589e-05,-3.811520795535e+00,4.096865937862e+01,-9.135791485215e-05,2.163599401293e-01,4.562252045337e-02,-1.103568041680e-04
"                 121",-4.033665308890e+00,4.088015231515e+01,1.892501637134e-05,-3.816513833717e+00,4.092601547615e+01,-1.089343073519e-04,2.171514751731e-01,4.586316100253e-02,-1.278593237232e-04
"                 122",-4.037323688842e+00,4.087441837073e+01,1.891551883711e-05,-3.819422616064e+00,4.092054722373e+01,-1.186553817067e-04,2.179010727780e-01,4.612885299953e-02,-1.375709005438e-04
"                 123",-4.039369546674e+00,4.091443173650e+01,1.897022456506e-05,-3.820798053434e+00,4.096083523645e+01,-1.200645421671e-04,2.185714932397e-01,4.640349994904e-02,-1.390347667322e-04
"                 124",-4.040313239963e+00,4.099797653196e+01,1.904205399412e-05,-3.821195829738e+00,4.104464573035e+01,-1.091934796357e-04,2.191174102249e-01,4.666919838799e-02,-1.282355336298e-04
"                 125",-4.039973804225e+00,4.111731923066e+01,1.907826939586e-05,-3.820420338053e+00,4.116427081873e+01,-9.228944194591e-05,2.195534661725e-01,4.695158807721e-02,-1.113677113418e-04
"                 126",-4.039385567715e+00,4.125268082710e+01,1.905634512544e-05,-3.819525094176e+00,4.129989625809e+01,-7.558882374995e-05,2.198604735388e-01,4.721543098519e-02,-9.464516887539e-05
